epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90412,2.61377,6.55432,2.73387,0.22049,0.02222,0.00623,0.00084,2.45939,5.4661,3.06011,8.888e-05,8.888e-05,8.888e-05
2,3.67573,2.20929,4.04297,2.1922,0.41887,0.46222,0.31922,0.14569,2.04181,3.99583,2.31503,0.00018513,0.00018513,0.00018513
3,5.46615,1.85317,3.45772,1.80877,0.32509,0.3472,0.26576,0.15039,2.06517,4.57992,2.21394,0.000277421,0.000277421,0.000277421
4,7.23296,1.83213,2.76394,1.84107,0.84321,0.53232,0.63723,0.27363,2.25794,1.95803,2.58192,0.000365752,0.000365752,0.000365752
5,9.02137,1.44191,3.32927,1.52462,0.53704,0.73778,0.68566,0.30823,2.00951,2.79583,2.32952,0.000450124,0.000450124,0.000450124
6,10.7986,1.67542,2.2159,1.8138,0.40901,0.66701,0.45448,0.27849,2.28596,11.9382,2.63566,0.000530536,0.000530536,0.000530536
7,12.7833,1.62254,2.09692,1.61785,0.40078,0.63149,0.51756,0.24507,2.27127,3.12868,2.64305,0.000606988,0.000606988,0.000606988
8,14.5921,1.56805,1.86099,1.5925,0.39115,0.78667,0.5456,0.15803,2.70757,2.70211,3.2891,0.000679481,0.000679481,0.000679481
9,16.348,1.54982,1.64658,1.66238,0.61918,0.5748,0.56725,0.16705,2.22666,6.48152,2.69956,0.000748014,0.000748014,0.000748014
10,18.151,1.55316,1.71937,1.63138,0.47556,0.76152,0.69594,0.22238,2.37273,2.38237,2.77463,0.000812588,0.000812588,0.000812588
11,19.9575,1.50416,1.54082,1.58097,0.73744,0.60123,0.71907,0.30264,2.47784,2.20699,2.71647,0.000873202,0.000873202,0.000873202
12,21.7197,1.4639,1.56671,1.57809,0.55568,0.63111,0.64191,0.22778,2.3457,1.91346,2.48804,0.000869024,0.000869024,0.000869024
13,23.3523,1.58247,1.5442,1.58343,0.65483,0.69333,0.81103,0.30908,2.34337,1.865,2.36114,0.000847026,0.000847026,0.000847026
14,25.0324,1.4255,1.36037,1.51616,0.56792,0.93778,0.8642,0.36602,2.12504,1.4543,2.33596,0.000825029,0.000825029,0.000825029
