epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2759,1.62482,3.28245,1.70313,0.26981,0.30608,0.19743,0.07373,2.26985,2.91309,2.40742,0.00036663,0.00036663,0.00036663
2,39.9542,1.49879,1.96411,1.58205,0.31224,0.22377,0.18223,0.07575,2.18791,2.99786,2.48702,0.000722371,0.000722371,0.000722371
3,60.0208,1.59399,2.01168,1.64898,0.45567,0.4245,0.26818,0.11484,2.18424,3.32486,2.4863,0.00106345,0.00106345,0.00106345
4,79.9705,1.50266,1.85573,1.58634,0.20953,0.33851,0.18291,0.06314,2.35659,3.48216,2.61849,0.00104501,0.00104501,0.00104501
5,99.7459,1.4915,1.7403,1.57641,0.58459,0.20634,0.22595,0.09409,2.20298,3.11164,2.45043,0.00102301,0.00102301,0.00102301
6,119.379,1.44052,1.66145,1.55219,0.41495,0.33667,0.32583,0.15494,2.04432,2.38459,2.24626,0.00100101,0.00100101,0.00100101
7,139.149,1.4097,1.61446,1.5411,0.55935,0.35886,0.38927,0.19723,2.08488,2.2797,2.30546,0.000979013,0.000979013,0.000979013
8,159.884,1.35176,1.50229,1.482,0.50657,0.47677,0.47933,0.24473,1.89083,2.1844,2.12701,0.000957015,0.000957015,0.000957015
9,179.567,1.30862,1.41095,1.44803,0.53895,0.43415,0.40061,0.18476,1.98443,2.22612,2.16654,0.000935018,0.000935018,0.000935018
10,199.342,1.26356,1.31916,1.4125,0.5768,0.54088,0.55047,0.27756,1.77911,1.9772,2.042,0.00091302,0.00091302,0.00091302
11,218.966,1.25844,1.31148,1.40239,0.56726,0.53363,0.51597,0.27471,1.78211,1.85782,2.02303,0.000891022,0.000891022,0.000891022
12,238.613,1.20726,1.2123,1.36682,0.67125,0.54431,0.59747,0.32612,1.7437,1.72796,1.94461,0.000869024,0.000869024,0.000869024
13,258.324,1.16891,1.13633,1.33867,0.54981,0.59665,0.56682,0.29323,1.73221,1.68276,2.01164,0.000847026,0.000847026,0.000847026
14,278.025,1.17388,1.13086,1.34691,0.5687,0.59642,0.61577,0.33787,1.69823,1.69882,1.93058,0.000825029,0.000825029,0.000825029
15,297.731,1.17303,1.09882,1.34822,0.63458,0.62853,0.6328,0.34279,1.79598,1.59696,2.05824,0.000803031,0.000803031,0.000803031
16,317.561,1.13944,1.0545,1.31621,0.71781,0.50492,0.56521,0.31741,1.57684,1.73883,1.7945,0.000781033,0.000781033,0.000781033
17,337.169,1.1138,1.02864,1.30055,0.58409,0.58458,0.56916,0.32262,1.69437,1.65273,1.94167,0.000759035,0.000759035,0.000759035
18,356.771,1.09391,0.98994,1.27881,0.65143,0.61154,0.62913,0.34455,1.70255,1.63387,1.95267,0.000737037,0.000737037,0.000737037
19,376.228,1.11195,0.98411,1.28677,0.65931,0.66015,0.66951,0.39046,1.54649,1.40815,1.77435,0.00071504,0.00071504,0.00071504
20,395.771,1.04957,0.95493,1.26136,0.7919,0.60412,0.68742,0.4088,1.53996,1.46674,1.79373,0.000693042,0.000693042,0.000693042
21,415.226,1.01824,0.88163,1.23641,0.74995,0.6224,0.6552,0.37554,1.60066,1.48501,1.85618,0.000671044,0.000671044,0.000671044
22,435.291,1.00968,0.89007,1.2362,0.67108,0.61324,0.65421,0.39346,1.55203,1.63539,1.77462,0.000649046,0.000649046,0.000649046
23,455.256,1.01148,0.8667,1.22407,0.7649,0.67519,0.72572,0.42842,1.54098,1.37386,1.80431,0.000627048,0.000627048,0.000627048
24,475.438,0.99631,0.85788,1.21443,0.79638,0.61902,0.71996,0.4349,1.52212,1.35514,1.75468,0.000605051,0.000605051,0.000605051
25,495.9,0.96674,0.82118,1.2,0.64933,0.65199,0.66179,0.40933,1.54187,1.4196,1.79126,0.000583053,0.000583053,0.000583053
26,515.85,0.96464,0.807,1.1933,0.77056,0.63542,0.71244,0.43396,1.51516,1.36984,1.74867,0.000561055,0.000561055,0.000561055
27,535.329,0.95178,0.78705,1.18995,0.85504,0.67473,0.76022,0.45281,1.50993,1.23788,1.78585,0.000539057,0.000539057,0.000539057
28,554.886,0.93191,0.77451,1.17606,0.79111,0.65238,0.73516,0.4533,1.48831,1.2733,1.73939,0.000517059,0.000517059,0.000517059
29,574.585,0.95215,0.7799,1.18735,0.84768,0.6718,0.75212,0.45352,1.54378,1.31484,1.75652,0.000495062,0.000495062,0.000495062
30,594.113,0.93128,0.75446,1.17827,0.76807,0.72547,0.76752,0.47648,1.48432,1.19416,1.73989,0.000473064,0.000473064,0.000473064
31,613.627,0.90002,0.7185,1.15768,0.83052,0.69514,0.74915,0.45489,1.44461,1.2005,1.6817,0.000451066,0.000451066,0.000451066
32,633.191,0.90572,0.72903,1.16624,0.86104,0.71294,0.78148,0.49895,1.44218,1.16643,1.70248,0.000429068,0.000429068,0.000429068
33,653.301,0.88231,0.70333,1.14011,0.85813,0.7161,0.79737,0.48142,1.5155,1.13927,1.7593,0.00040707,0.00040707,0.00040707
